,longitude,latitude,date,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1
0,-117.442505,53.08667,2023-01-01,D,1.796992,2.5749032,261.43533,272.6423,271.8749,273.1526,275.2103,1.3333334,1.5090345e-06,0.24525456
1,-117.544,54.2875,2023-01-01,N,2.8570387,0.7351752,271.403,270.18326,271.17996,272.53925,275.98508,2.0,0.0,0.32607847
2,-117.9665,53.49667,2023-01-02,D,2.183725,2.5395193,260.21637,270.3927,271.8786,273.16583,275.15616,1.5555556,0.0,0.27071536
3,-117.11649,53.510498,2023-01-03,D,2.590233,1.1195464,258.125,269.40524,271.35233,272.994,276.4241,3.3333333,0.0,0.4160196
4,-117.805504,55.570667,2023-01-03,N,1.1094346,1.2730913,261.13168,268.93686,270.6485,272.1124,276.58463,3.4444427,3.0032727e-08,0.34899172
5,-117.253494,54.489502,2023-01-04,D,1.7023382,1.8779213,256.8136,268.16602,270.993,272.527,276.18884,2.0,0.0,0.33522493
6,-117.4285,53.301666,2023-01-04,N,1.7353389,1.824298,266.90826,271.17056,271.5253,272.95337,275.31174,1.5555556,0.0,0.30402613
7,-115.6675,54.156666,2023-01-06,D,1.4792314,0.91531914,256.25732,267.54855,270.71674,272.54898,275.5656,2.0,0.0,0.2931618
8,-122.24451,56.287663,2023-01-07,D,1.8834597,0.9824115,263.58484,270.46262,271.42053,272.39246,274.73694,1.5555556,0.0,0.19293328
9,-117.5835,55.905666,2023-01-07,N,-0.12719207,2.0540485,264.29828,266.32864,268.419,271.8905,275.86478,3.1111112,0.0,0.33039248
10,-117.5295,53.7475,2023-01-08,D,1.5036167,1.6053923,268.71918,270.8702,270.7432,272.53403,275.2295,2.0,1.1071883e-05,0.33833352
11,-120.2305,56.84367,2023-01-08,N,0.19238654,-0.67738783,266.75677,271.27228,270.27716,271.96555,275.38876,4.4444375,2.8952652e-08,0.36489
12,-117.7795,52.911667,2023-01-09,D,0.6850028,1.9796011,267.5244,272.57947,272.09552,273.26816,274.5338,1.1111112,9.282879e-05,0.187978
13,-115.78451,54.908665,2023-01-09,N,-0.4485889,-0.23217896,269.79117,271.24463,270.4907,271.90372,274.7376,2.0,8.802115e-06,0.30199963
14,-117.3885,53.606663,2023-01-11,D,0.5971116,1.449771,258.3766,272.0626,271.27957,272.6272,275.1869,1.8888888,5.631021e-07,0.34420085
15,-115.6675,55.647663,2023-01-12,N,-2.0405693,0.49205413,264.56342,268.9635,271.19128,271.85037,274.81958,3.1111112,8.7908965e-08,0.30977187
16,-116.931496,54.168995,2023-01-14,D,0.3197049,1.5327048,264.5963,269.43805,271.211,272.4853,275.1331,2.0,1.3653771e-06,0.32349285
17,-116.8845,54.138668,2023-01-15,D,0.2085641,0.39567378,258.69815,268.2449,271.15152,272.51086,275.07556,2.0,0.0,0.32469738
18,-118.530495,54.048664,2023-01-15,N,-0.33623767,-0.2762007,268.47684,270.141,271.6683,273.14645,274.91666,1.8888888,8.52528e-07,0.30306256
19,-115.6885,53.1175,2023-01-16,D,1.2241244,0.22557516,263.86533,269.09964,270.9933,273.13538,277.34677,6.0,0.00011039095,0.52812797
20,-115.631996,53.423664,2023-01-17,D,1.3663224,1.5290927,260.4276,270.03848,271.08768,273.14838,276.39484,3.3333333,2.1872436e-06,0.40325436
21,-116.1415,52.62367,2023-01-18,D,2.6241536,2.345023,261.75818,269.55252,271.1606,272.6024,275.07327,1.4444444,1.6118994e-07,0.3276153
22,-117.9595,55.67767,2023-01-19,D,3.340207,1.604919,267.2185,269.08875,270.93005,272.02396,275.34885,3.1666641,0.0,0.34120902
23,-121.3335,51.76967,2023-01-19,N,-1.5323986,1.6999879,271.18628,272.95157,273.19714,273.93674,275.7856,2.0,0.0,0.33459148
24,-111.0465,56.028667,2023-01-20,D,4.346604,0.6440157,266.94058,267.83646,268.9592,272.03333,276.34827,5.6666665,0.0,0.5559397
25,-119.4215,58.0945,2023-01-20,N,3.0289726,2.830962,273.76266,269.75958,271.1821,272.21088,275.67862,6.0,0.0,0.47911176
26,-120.8295,55.36067,2023-01-21,D,3.338973,3.3671036,275.5287,272.8139,272.09818,272.51373,274.4155,2.1111042,2.194528e-05,0.2959907
27,-122.0145,52.327667,2023-01-21,N,-0.5078607,1.4277377,271.97275,272.85266,273.1158,273.8695,275.76648,2.0,0.0005547581,0.34074396
28,-116.9725,54.499664,2023-01-22,D,5.262055,-1.9873959,272.99615,272.76718,271.30588,272.3455,274.89877,2.6666667,0.00040707403,0.37433434
29,-124.0655,54.21867,2023-01-22,N,1.1636676,1.8178499,271.15985,272.58362,272.1012,271.49136,274.08807,2.7777727,0.0,0.3459036
30,-120.1095,53.05467,2023-01-23,D,0.36375085,1.6982813,264.61444,273.0444,273.03613,273.5189,274.445,1.6666666,0.0012839305,0.23572691
31,-118.9245,55.800663,2023-01-24,D,4.772149,-0.7029836,273.67575,272.7595,271.75687,272.20007,275.09534,3.8888888,8.9428363e-07,0.39861605
32,-113.8465,54.268665,2023-01-25,D,3.2056036,-0.35526597,267.52896,269.368,270.88577,271.98355,274.85587,3.222217,0.0,0.30624327
33,-116.4995,54.936665,2023-01-25,N,4.101807,-0.45907485,278.3256,272.25912,271.58365,271.9658,274.19144,2.3333333,0.0,0.33992228
34,-122.9895,57.514668,2023-01-26,D,4.7539635,1.1680084,276.03406,272.7851,272.36044,272.5721,273.97498,2.0,2.01337e-07,0.29799926
35,-119.0855,50.26967,2023-01-28,D,0.95452213,-1.0666617,269.03223,273.22824,273.35828,274.08594,275.82294,2.0,0.00030016238,0.32022995
