,lower_longitude,upper_longitude,lower_latitude,upper_latitude,fire_count
0,-140.0,-139.0,41.0,42.0,0
1,-140.0,-139.0,42.0,43.0,0
2,-140.0,-139.0,43.0,44.0,0
3,-140.0,-139.0,44.0,45.0,0
4,-140.0,-139.0,45.0,46.0,0
5,-140.0,-139.0,46.0,47.0,0
6,-140.0,-139.0,47.0,48.0,0
7,-140.0,-139.0,48.0,49.0,0
8,-140.0,-139.0,49.0,50.0,0
9,-140.0,-139.0,50.0,51.0,0
10,-140.0,-139.0,51.0,52.0,0
11,-140.0,-139.0,52.0,53.0,0
12,-140.0,-139.0,53.0,54.0,0
13,-140.0,-139.0,54.0,55.0,0
14,-140.0,-139.0,55.0,56.0,0
15,-140.0,-139.0,56.0,57.0,0
16,-140.0,-139.0,57.0,58.0,0
17,-140.0,-139.0,58.0,59.0,0
18,-140.0,-139.0,59.0,60.0,0
19,-140.0,-139.0,60.0,61.0,0
20,-140.0,-139.0,61.0,62.0,0
21,-140.0,-139.0,62.0,63.0,97
22,-140.0,-139.0,63.0,64.0,305
23,-140.0,-139.0,64.0,65.0,38
24,-140.0,-139.0,65.0,66.0,7
25,-140.0,-139.0,66.0,67.0,38
26,-140.0,-139.0,67.0,68.0,172
27,-140.0,-139.0,68.0,69.0,0
28,-140.0,-139.0,69.0,70.0,0
29,-140.0,-139.0,70.0,71.0,0
30,-140.0,-139.0,71.0,72.0,0
31,-140.0,-139.0,72.0,73.0,0
32,-140.0,-139.0,73.0,74.0,0
33,-140.0,-139.0,74.0,75.0,0
34,-140.0,-139.0,75.0,76.0,0
35,-140.0,-139.0,76.0,77.0,0
36,-140.0,-139.0,77.0,78.0,0
37,-140.0,-139.0,78.0,79.0,0
38,-140.0,-139.0,79.0,80.0,0
39,-140.0,-139.0,80.0,81.0,0
40,-140.0,-139.0,81.0,82.0,0
41,-140.0,-139.0,82.0,83.0,0
42,-139.0,-138.0,41.0,42.0,0
43,-139.0,-138.0,42.0,43.0,0
44,-139.0,-138.0,43.0,44.0,0
45,-139.0,-138.0,44.0,45.0,0
46,-139.0,-138.0,45.0,46.0,0
47,-139.0,-138.0,46.0,47.0,0
48,-139.0,-138.0,47.0,48.0,0
49,-139.0,-138.0,48.0,49.0,0
50,-139.0,-138.0,49.0,50.0,0
51,-139.0,-138.0,50.0,51.0,0
52,-139.0,-138.0,51.0,52.0,0
53,-139.0,-138.0,52.0,53.0,0
54,-139.0,-138.0,53.0,54.0,0
55,-139.0,-138.0,54.0,55.0,0
56,-139.0,-138.0,55.0,56.0,0
57,-139.0,-138.0,56.0,57.0,0
58,-139.0,-138.0,57.0,58.0,0
59,-139.0,-138.0,58.0,59.0,0
60,-139.0,-138.0,59.0,60.0,0
61,-139.0,-138.0,60.0,61.0,0
62,-139.0,-138.0,61.0,62.0,0
63,-139.0,-138.0,62.0,63.0,151
64,-139.0,-138.0,63.0,64.0,869
65,-139.0,-138.0,64.0,65.0,196
66,-139.0,-138.0,65.0,66.0,212
67,-139.0,-138.0,66.0,67.0,248
68,-139.0,-138.0,67.0,68.0,311
69,-139.0,-138.0,68.0,69.0,5
70,-139.0,-138.0,69.0,70.0,0
71,-139.0,-138.0,70.0,71.0,0
72,-139.0,-138.0,71.0,72.0,0
73,-139.0,-138.0,72.0,73.0,0
74,-139.0,-138.0,73.0,74.0,0
75,-139.0,-138.0,74.0,75.0,0
76,-139.0,-138.0,75.0,76.0,0
77,-139.0,-138.0,76.0,77.0,0
78,-139.0,-138.0,77.0,78.0,0
79,-139.0,-138.0,78.0,79.0,0
80,-139.0,-138.0,79.0,80.0,0
81,-139.0,-138.0,80.0,81.0,0
82,-139.0,-138.0,81.0,82.0,0
83,-139.0,-138.0,82.0,83.0,0
84,-138.0,-137.0,41.0,42.0,0
85,-138.0,-137.0,42.0,43.0,0
86,-138.0,-137.0,43.0,44.0,0
87,-138.0,-137.0,44.0,45.0,0
88,-138.0,-137.0,45.0,46.0,0
89,-138.0,-137.0,46.0,47.0,0
90,-138.0,-137.0,47.0,48.0,0
91,-138.0,-137.0,48.0,49.0,0
92,-138.0,-137.0,49.0,50.0,0
93,-138.0,-137.0,50.0,51.0,0
94,-138.0,-137.0,51.0,52.0,0
95,-138.0,-137.0,52.0,53.0,0
96,-138.0,-137.0,53.0,54.0,0
97,-138.0,-137.0,54.0,55.0,0
98,-138.0,-137.0,55.0,56.0,0
99,-138.0,-137.0,56.0,57.0,0
100,-138.0,-137.0,57.0,58.0,0
101,-138.0,-137.0,58.0,59.0,0
102,-138.0,-137.0,59.0,60.0,0
103,-138.0,-137.0,60.0,61.0,3
104,-138.0,-137.0,61.0,62.0,104
