,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-116.70956666666666,53.62125555555556,2013-01-02,01,D,3.1686296,1.675135,262.93774,271.9235,272.1724,273.5724,276.2281,2,0.0,0.4453167,0.44670716,0.4452506,0.5024665
1,-116.9636652173913,53.34286521739131,2013-01-03,01,D,4.013969,2.6824977,270.17044,271.87292,271.9424,273.1608,275.7426,3,0.0,0.42111546,0.41915876,0.4173301,0.47780502
2,-117.4473,53.98642727272727,2013-01-04,01,D,1.6724707,1.8233536,261.14856,272.34235,272.2174,273.34573,275.22116,2,6.711389e-07,0.33092657,0.33164987,0.32898414,0.38358298
3,-124.2331,53.3658,2013-01-06,01,D,0.62295055,2.096113,266.6549,272.32343,271.69983,272.43124,274.4783,2,1.985984e-05,0.3215876,0.3192811,0.33296707,0.34501407
4,-117.2907052631579,53.84853157894737,2013-01-08,01,D,6.1725364,0.17128062,269.27777,271.9691,272.2228,273.30942,275.1154,2,1.5275664e-06,0.33654892,0.3371403,0.3352164,0.38740027
5,-124.2209,53.356,2013-01-08,01,N,-1.60633,0.4274062,267.98853,272.56577,271.95673,272.42767,274.37314,2,2.5408164e-05,0.32110345,0.31958315,0.33273286,0.3449643
6,-115.5316,52.4066,2013-01-09,01,D,0.9522491,1.9100797,265.56842,268.73386,269.95416,271.277,274.12033,2,4.8481827e-05,0.33195436,0.3218974,0.3172173,0.37186983
7,-116.2095,52.5911,2013-01-11,01,D,1.1250818,0.90664905,246.27762,265.08746,268.18283,271.49442,274.3306,1,8.614529e-09,0.33856127,0.327153,0.32114565,0.3824885
8,-122.6195,51.4684,2013-01-15,01,D,2.5792408,0.94998676,268.59982,272.59583,272.86243,273.28738,274.6004,2,0.0,0.3034006,0.30424193,0.3105396,0.30495334
9,-122.97727499999999,51.852875,2013-01-18,01,D,1.6519452,1.7621288,270.5199,272.71472,272.72852,273.08826,274.50467,2,0.0,0.3200621,0.32031095,0.32270706,0.30662414
10,-130.2327,56.9305,2013-01-18,01,N,0.74003154,1.3102187,269.81708,272.63074,272.6601,272.89697,273.6671,1,4.3815373e-05,0.20636544,0.20642017,0.2038593,0.25518134
11,-117.61790714285713,53.59432142857143,2013-01-24,01,D,2.4309087,0.65838933,267.01917,271.57898,272.47644,272.82587,274.26202,2,4.9497336e-05,0.33195612,0.3315071,0.3177625,0.36942816
12,-117.70101666666667,53.30649444444444,2013-01-25,01,D,1.610426,2.7109027,264.19983,272.01892,272.2375,272.31314,273.777,1,1.8928506e-05,0.24164231,0.24310657,0.2396405,0.27582592
13,-117.23568888888889,53.63847777777778,2013-01-26,01,D,2.6440477,2.1964886,260.90042,269.69617,272.3457,273.13574,274.84296,2,0.0,0.4020022,0.40209004,0.3913373,0.4449332
14,-122.07967500000001,55.592349999999996,2013-01-31,01,D,2.3341303,2.1124074,260.13416,269.99496,272.4183,273.2331,274.15894,1,6.486539e-05,0.2685209,0.2694314,0.266371,0.28874436
15,-116.67304999999999,54.208800000000004,2013-02-01,02,D,2.9989338,0.5360574,270.48004,270.45914,271.8013,273.26968,274.47986,2,7.0525414e-07,0.3560526,0.35562685,0.33828843,0.36181048
16,-116.4778,53.86566666666667,2013-02-03,02,D,4.200803,-0.9413575,273.25702,272.83835,271.8707,273.29617,274.6769,2,5.344499e-06,0.39838,0.38741076,0.3684279,0.40805426
17,-116.51935,53.863,2013-02-03,02,N,1.923366,0.17846793,276.2758,272.46725,271.93198,273.29883,274.69104,2,0.0,0.40211537,0.39142752,0.3725242,0.41232854
18,-118.8118,54.74625,2013-02-04,02,D,5.170019,0.57281494,274.605,272.65863,271.94818,273.28717,274.70303,2,1.323757e-06,0.4091702,0.3942489,0.3705581,0.35789838
19,-116.1838,52.5517,2013-02-05,02,D,2.0597863,2.00894,259.11414,270.12735,271.05902,271.51,273.88272,1,3.0350327e-07,0.32858363,0.32568133,0.30064332,0.36463776
20,-117.03162,54.14126,2013-02-08,02,D,2.7786074,0.82863986,265.7537,271.0222,272.17816,273.2048,274.3418,2,1.1650748e-05,0.36214325,0.36204588,0.34711885,0.3726912
21,-121.0501,55.3401,2013-02-08,02,N,4.4900875,3.420041,273.3067,271.61893,272.1354,273.16376,274.0967,2,1.2806338e-05,0.30705577,0.30458274,0.29337877,0.30754104
22,-118.3083857142857,53.38652857142857,2013-02-10,02,D,2.0157094,1.3012484,259.79263,272.64877,272.56537,272.83524,273.75497,1,1.2335176e-08,0.22896126,0.22743988,0.22203463,0.27037287
23,-116.19669999999999,53.8447,2013-02-11,02,D,4.747656,-1.4182384,272.73395,272.26532,272.21732,273.17307,274.35812,2,0.0,0.36406028,0.36223063,0.3424803,0.38339823
24,-123.0297,56.010000000000005,2013-02-12,02,D,1.547786,2.302814,269.87628,272.75842,272.5049,272.87112,273.6987,1,0.00041616443,0.21855134,0.21875247,0.21994966,0.24718663
25,-119.646075,55.0276,2013-02-13,02,D,5.1971264,-2.8092637,272.58386,273.85013,272.0763,272.75082,274.35358,2,4.9895458e-05,0.39016244,0.38643184,0.36031947,0.34862
26,-121.77863333333335,52.189099999999996,2013-02-13,02,N,2.490327,-1.2540883,274.27728,273.01477,273.0404,273.6197,274.55237,2,0.0,0.31939113,0.31987008,0.33026326,0.33399928
27,-120.4091,50.488550000000004,2013-02-15,02,D,-0.44618648,1.4057665,272.13824,272.76724,272.9303,273.61023,274.8817,2,0.0,0.3013121,0.29338264,0.27054787,0.24387687
28,-121.8159,55.5752,2013-02-17,02,D,0.9427823,0.5988109,266.89896,272.81784,272.6395,273.16812,274.0422,2,4.7151014e-05,0.30637795,0.2924265,0.28124535,0.3016645
29,-117.21127777777777,53.89415555555556,2013-02-20,02,D,0.085248075,1.2808819,262.99023,271.94232,272.6011,273.15616,274.25018,2,3.4684401e-06,0.37735793,0.3770486,0.3546019,0.39732277
30,-123.514,52.085625,2013-02-22,02,D,-2.766978,2.4327447,270.08804,272.8688,272.6789,272.60468,273.815,2,6.46751e-05,0.31964624,0.32085797,0.31830025,0.31453753
31,-119.63895,54.5229,2013-02-24,02,D,3.1819696,3.103602,269.08765,272.10864,272.49023,273.02713,273.943,2,1.579701e-05,0.31966713,0.3211877,0.30960616,0.33372256
32,-120.357,50.8529,2013-02-26,02,N,-0.7484119,3.2067602,273.78293,272.74356,272.89777,273.5871,274.51843,2,3.0700136e-05,0.30782047,0.30074072,0.28218883,0.27181235
33,-123.9898,53.2836,2013-03-06,03,D,0.7820302,-1.1213326,261.57996,272.51935,272.7074,272.69702,273.75745,2,5.3627373e-06,0.33407435,0.33936417,0.33326486,0.34185436
34,-120.740075,54.243125,2013-03-08,03,D,0.5966576,1.9145389,259.91406,271.37933,272.47693,273.08093,273.71368,1,0.0,0.20215538,0.20171686,0.20730683,0.2549621
35,-115.58876666666667,52.11553333333333,2013-03-09,03,D,2.7585192,1.3530775,262.06033,270.40088,271.40775,272.18115,273.60968,2,0.0,0.29490012,0.29543978,0.27229053,0.32906637
36,-122.5968,56.5125,2013-03-09,03,N,2.4784412,1.7488229,273.33746,270.6682,271.7704,272.83307,273.7177,1,0.0,0.23444086,0.23597744,0.23002976,0.25236702
37,-119.6661,54.5652,2013-03-10,03,D,5.1395855,2.512617,273.16125,272.90244,271.96414,272.95773,273.86444,2,7.2370385e-06,0.32036656,0.319903,0.31245866,0.334544
