latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.4253,-117.5448,328.9,1.1,1,2023-01-01,0505,Terra,MODIS,100,6.03,266.8,36.7,N,0
54.4137,-117.5561,300.1,1.1,1,2023-01-01,0505,Terra,MODIS,16,6.03,265.2,10,N,0
54.4226,-117.5606,305.6,1.1,1,2023-01-01,0505,Terra,MODIS,65,6.03,265.4,13.6,N,0
54.4075,-117.5357,348.2,1.1,1,2023-01-01,0505,Terra,MODIS,100,6.03,270,69.4,N,0
54.4049,-117.5515,335.5,1.1,1,2023-01-01,0505,Terra,MODIS,91,6.03,267.9,45,N,0
53.0805,-117.2932,317.9,1.1,1,2023-01-01,1834,Terra,MODIS,69,6.03,269.2,22.6,D,0
53.1002,-117.313,334.7,1.1,1,2023-01-01,1834,Terra,MODIS,63,6.03,268.1,41.6,D,0
53.0954,-117.3366,313.4,1.1,1,2023-01-01,1834,Terra,MODIS,44,6.03,269,19.4,D,0
53.0935,-117.3213,375.9,1.1,1,2023-01-01,1834,Terra,MODIS,75,6.03,273.4,152.6,D,0
53.0844,-117.324,344.6,1.1,1,2023-01-01,1834,Terra,MODIS,83,6.03,268.9,59.2,D,0
53.0825,-117.3086,381.5,1.1,1,2023-01-01,1834,Terra,MODIS,100,6.03,273,178.2,D,0
53.4971,-117.9781,375,1.5,1.2,2023-01-02,1915,Terra,MODIS,100,6.03,265.7,0,D,0
53.4929,-117.9582,377.4,1.5,1.2,2023-01-02,1915,Terra,MODIS,100,6.03,266.3,0,D,0
53.4998,-117.9604,361.8,1.5,1.2,2023-01-02,1915,Terra,MODIS,91,6.03,267,0,D,0
53.495,-117.9712,374.5,1,1,2023-01-02,2048,Aqua,MODIS,100,6.03,267.7,0,D,0
56.7794,-118.0159,314.9,1.3,1.1,2023-01-03,0450,Terra,MODIS,87,6.03,266.6,28.1,N,0
56.778,-118.0203,320.2,1.3,1.1,2023-01-03,0450,Terra,MODIS,100,6.03,266.9,34.5,N,0
54.3642,-117.6002,350.8,1,1,2023-01-03,1019,Aqua,MODIS,100,6.03,267,0,N,0
54.362,-117.5852,382,1,1,2023-01-03,1019,Aqua,MODIS,100,6.03,270.2,0,N,0
53.4658,-116.995,413.9,1.4,1.2,2023-01-03,1818,Terra,MODIS,100,6.03,278,0,D,0
53.4677,-117.0157,382.6,1.4,1.2,2023-01-03,1818,Terra,MODIS,100,6.03,269,0,D,0
53.4847,-116.9694,366.5,1.4,1.2,2023-01-03,1818,Terra,MODIS,96,6.03,266.2,0,D,0
53.4621,-116.9539,369.1,1.4,1.2,2023-01-03,1818,Terra,MODIS,99,6.03,265.7,0,D,0
53.1267,-117.2722,330.1,1.4,1.2,2023-01-03,1819,Terra,MODIS,78,6.03,267,58.3,D,0
53.1285,-117.2923,338.9,1.4,1.2,2023-01-03,1819,Terra,MODIS,84,6.03,271.3,79.9,D,0
53.3122,-117.4315,352.6,1.5,1.2,2023-01-03,1819,Terra,MODIS,96,6.03,273,127.1,D,0
53.3103,-117.4102,352.6,1.4,1.2,2023-01-03,1819,Terra,MODIS,96,6.03,271.3,127.3,D,0
53.3016,-117.433,346.5,1.5,1.2,2023-01-03,1819,Terra,MODIS,93,6.03,272.4,104.5,D,0
53.4381,-116.894,344.8,2.7,1.6,2023-01-03,1953,Aqua,MODIS,0,6.03,265.9,251,D,0
53.2903,-117.4247,346.6,2.9,1.6,2023-01-03,1953,Aqua,MODIS,93,6.03,274,288.2,D,0
53.3034,-117.436,330.9,2.9,1.6,2023-01-03,1953,Aqua,MODIS,83,6.03,273.4,165.5,D,0
53.4566,-116.9985,379.2,2.8,1.6,2023-01-03,1953,Aqua,MODIS,100,6.03,275.4,669.3,D,0
53.4696,-117.0088,356.4,2.8,1.6,2023-01-03,1953,Aqua,MODIS,98,6.03,271,355.1,D,0
53.4592,-117.0048,370.3,2.8,1.6,2023-01-03,1953,Aqua,MODIS,100,6.03,276,525.9,D,0
53.4721,-117.015,333.8,2.8,1.6,2023-01-03,1953,Aqua,MODIS,33,6.03,269.5,156.4,D,0
53.2375,-117.1404,325.8,2.9,1.6,2023-01-03,1953,Aqua,MODIS,75,6.03,269.1,137.7,D,0
53.4348,-116.8844,335.1,2.7,1.6,2023-01-03,1953,Aqua,MODIS,0,6.03,265.2,169.6,D,0
53.4249,-116.9213,324.7,2.8,1.6,2023-01-03,1953,Aqua,MODIS,64,6.03,266.8,114,D,0
53.2893,-117.4171,323.1,2.9,1.6,2023-01-03,1953,Aqua,MODIS,76,6.03,272.9,118.5,D,0
53.4279,-116.931,324.3,2.8,1.6,2023-01-03,1953,Aqua,MODIS,58,6.03,266.6,121.1,D,0
53.4571,-117.0219,313.8,4.5,2,2023-01-03,1956,Terra,MODIS,59,6.03,267.6,152.6,D,0
53.4728,-116.9995,370,4.5,2,2023-01-03,1956,Terra,MODIS,100,6.03,273.5,1065.1,D,0
53.4529,-116.9391,358.2,4.6,2,2023-01-03,1956,Terra,MODIS,93,6.03,269.9,758.7,D,0
53.4724,-117.0078,368.2,4.5,2,2023-01-03,1956,Terra,MODIS,100,6.03,273.4,1016.1,D,0
53.4527,-116.9473,361.4,4.6,2,2023-01-03,1956,Terra,MODIS,94,6.03,271.1,838.9,D,0
53.3009,-117.4153,348.1,4.4,1.9,2023-01-03,1956,Terra,MODIS,94,6.03,273.4,545.7,D,0
53.2989,-117.4228,345.4,4.4,1.9,2023-01-03,1956,Terra,MODIS,93,6.03,273.5,500.2,D,0
53.2975,-117.3945,316,2.2,1.4,2023-01-03,2131,Aqua,MODIS,37,6.03,270.8,55.7,D,0
53.2955,-117.4303,356.9,2.2,1.4,2023-01-03,2131,Aqua,MODIS,98,6.03,274.1,259.9,D,0
53.3105,-117.396,317.9,2.2,1.4,2023-01-03,2131,Aqua,MODIS,31,6.03,269.7,60,D,0
53.4416,-116.8944,326.4,2.4,1.5,2023-01-03,2131,Aqua,MODIS,39,6.03,268.4,95.5,D,0
53.4625,-117.0058,366,2.3,1.5,2023-01-03,2131,Aqua,MODIS,80,6.03,275.4,357.2,D,0
53.4608,-116.9379,345,2.4,1.5,2023-01-03,2131,Aqua,MODIS,70,6.03,270.9,187.1,D,0
53.459,-116.974,361.9,2.3,1.5,2023-01-03,2131,Aqua,MODIS,77,6.03,274,313.7,D,0
53.4573,-117.0099,357.9,2.3,1.5,2023-01-03,2131,Aqua,MODIS,99,6.03,275,285.9,D,0
53.4556,-117.0448,318.3,2.3,1.5,2023-01-03,2131,Aqua,MODIS,27,6.03,270.5,65.7,D,0
53.4706,-117.0116,336.2,2.3,1.5,2023-01-03,2131,Aqua,MODIS,84,6.03,272,139.8,D,0
53.5105,-117.0163,317.8,2.3,1.5,2023-01-03,2131,Aqua,MODIS,30,6.03,268.9,65.6,D,0
53.5257,-116.9821,312.6,2.3,1.5,2023-01-03,2131,Aqua,MODIS,45,6.03,267.4,54.6,D,0
53.5238,-117.0176,316.3,2.3,1.5,2023-01-03,2131,Aqua,MODIS,60,6.03,266.9,64.7,D,0
57.128,-116.5043,333.1,2.7,1.6,2023-01-03,2132,Aqua,MODIS,88,6.03,270,163,D,0
57.133,-116.5133,314.6,2.7,1.6,2023-01-03,2132,Aqua,MODIS,75,6.03,269,75.1,D,0
53.3016,-117.4282,321.7,1.1,1,2023-01-04,0530,Terra,MODIS,100,6.03,268.5,28.7,N,0
57.6993,-122.0246,378.7,1.1,1,2023-01-04,1859,Terra,MODIS,100,6.03,269,0,D,0
54.8805,-115.6093,371.3,1.2,1.1,2023-01-04,1859,Terra,MODIS,100,6.03,273.2,165.9,D,0
54.8771,-115.5911,349.9,1.2,1.1,2023-01-04,1859,Terra,MODIS,90,6.03,270.8,89.2,D,0
53.9782,-116.7182,314.7,1.2,1.1,2023-01-04,1859,Terra,MODIS,62,6.03,269,23.7,D,0
53.9751,-116.7011,349.3,1.2,1.1,2023-01-04,1859,Terra,MODIS,89,6.03,270.8,83.2,D,0
53.9657,-116.6505,350,1.2,1.1,2023-01-04,1859,Terra,MODIS,0,6.03,267.3,85.5,D,0
53.9627,-116.6343,315.7,1.2,1.1,2023-01-04,1859,Terra,MODIS,61,6.03,267.4,25.1,D,0
53.969,-116.7228,345.7,1.2,1.1,2023-01-04,1859,Terra,MODIS,93,6.03,269,72.5,D,0
53.9659,-116.7058,374.7,1.2,1.1,2023-01-04,1859,Terra,MODIS,87,6.03,271.9,170.6,D,0
53.9566,-116.6554,367.5,1.2,1.1,2023-01-04,1859,Terra,MODIS,75,6.03,268.7,140.2,D,0
